,,,,,
id,lon,lat,hora,fecha,date
206,-75.54029,6.26267,13:21,2018-08-24,2018-08-24 13:21
207,-75.53064,6.25656,14:17,2018-08-24,2018-08-24 14:17
208,-75.57950,6.26574,10:40,2018-08-25,2018-08-25 10:40
209,-75.61179,6.21980,11:23,2018-08-25,2018-08-25 11:23
210,-75.61128,6.27272,12:40,2018-08-25,2018-08-25 12:40
211,-75.54333,6.27265,13:23,2018-08-26,2018-08-26 13:23
212,-75.58936,6.20418,15:34,2018-08-26,2018-08-26 15:34
213,-75.53752,6.21486,15:48,2018-08-26,2018-08-26 15:48
214,-75.53731,6.24382,17:10,2018-08-26,2018-08-26 17:10
215,-75.55636,6.34867,17:43,2018-08-26,2018-08-26 17:43
216,-75.61163,6.26548,8:33,2018-08-27,2018-08-27 8:33
217,-75.60562,6.30042,16:52,2018-08-27,2018-08-27 16:52
218,-75.56754,6.23616,8:15,2018-08-30,2018-08-30 8:15
219,-75.52310,6.23450,10:35,2018-08-30,2018-08-30 10:35
220,-75.53935,6.24564,12:45,2018-08-30,2018-08-30 12:45
221,-75.62902,6.23960,13:36,2018-08-30,2018-08-30 13:36
222,-75.57284,6.33093,14:46,2018-08-30,2018-08-30 14:46
223,-75.60514,6.29089,14:53,2018-08-30,2018-08-30 14:53
224,-75.61375,6.27055,15:06,2018-08-30,2018-08-30 15:06
225,-75.62323,6.27651,15:30,2018-08-30,2018-08-30 15:30
226,-75.53286,6.24987,17:29,2018-08-30,2018-08-30 17:29
227,-75.61021,6.19834,6:00,2018-08-31,2018-08-31 6:00
228,-75.60014,6.30025,10:59,2018-08-31,2018-08-31 10:59
229,-75.52732,6.26499,11:51,2018-08-31,2018-08-31 11:51
230,-75.61336,6.26758,15:00,2018-08-31,2018-08-31 15:00
231,-75.61704,6.21499,15:12,2018-08-31,2018-08-31 15:12
232,-75.61336,6.19439,6:20,2018-08-31,2018-08-31 6:20
233,-75.63380,6.28920,16:15,2018-09-01,2018-09-01 16:15
234,-75.61879,6.26654,12:18,2018-09-02,2018-09-02 12:18
235,-75.63173,6.24565,14:50,2018-09-02,2018-09-02 14:50
236,-75.63564,6.26690,15:05,2018-09-02,2018-09-02 15:05
237,-75.61083,6.28966,15:25,2018-09-02,2018-09-02 15:25
238,-75.61083,6.28966,13:26,2018-09-03,2018-09-03 13:26
239,-75.61891,6.25559,14:10,2018-09-03,2018-09-03 14:10
240,-75.53661,6.23553,14:22,2018-09-03,2018-09-03 14:22
241,-75.62988,6.27672,14:30,2018-09-03,2018-09-03 14:30
242,-75.62475,6.28098,10:40,2018-09-10,2018-09-10 10:40
243,-75.60557,6.29449,14:06,2018-09-10,2018-09-10 14:06
244,-75.63366,6.28349,15:40,2018-09-11,2018-09-11 15:40
245,-75.55071,6.35559,13:15,2018-09-12,2018-09-12 13:15
246,-75.63329,6.22934,16:48,2018-09-19,2018-09-19 16:48
247,-75.60800,6.28630,16:00,2018-09-20,2018-09-20 16:00
248,-75.59492,6.29761,10:16,2018-09-24,2018-09-24 10:16
249,-75.58953,6.29694,10:42,2018-09-25,2018-09-25 10:42
250,-75.61680,6.21142,11:01,2018-09-25,2018-09-25 11:01
251,-75.61650,6.23260,12:19,2018-09-25,2018-09-25 12:19
252,-75.53828,6.26145,12:47,2018-09-25,2018-09-25 12:47
253,-75.61330,6.29820,16:55,2018-09-26,2018-09-26 16:55
254,-75.54054,6.21785,17:15,2018-09-26,2018-09-26 17:15
255,-75.53318,6.23853,17:30,2018-09-26,2018-09-26 17:30
256,-75.63660,6.33060,14:09,2018-10-04,2018-10-04 14:09
257,-75.63390,6.24220,14:51,2018-10-04,2018-10-04 14:51
258,-75.62166,6.26999,14:25,2018-10-14,2018-10-14 14:25
259,-75.52050,6.24600,7:11,2018-10-15,2018-10-15 7:11
260,-75.61940,6.27750,13:07,2018-10-15,2018-10-15 13:07
261,-75.59840,6.31320,14:22,2018-10-15,2018-10-15 14:22
262,-75.63170,6.24155,14:55,2018-10-29,2018-10-29 14:55
263,-75.64000,6.25000,11:45,2018-10-31,2018-10-31 11:45
264,-75.59970,6.29243,14:35,2018-10-31,2018-10-31 14:35
265,-75.61595,6.28829,16:18,2018-11-11,2018-11-11 16:18
266,-75.61704,6.23780,13:17,2018-11-16,2018-11-16 13:17
267,-75.52983,6.26489,13:16,2018-12-06,2018-12-06 13:16
268,-75.58591,6.27581,16:18,2018-12-17,2018-12-17 16:18
269,-75.58915,6.36682,16:23,2018-12-17,2018-12-17 16:23
270,-75.59176,6.26559,16:31,2018-12-17,2018-12-17 16:31
271,-75.58919,6.26239,10:20,2018-12-21,2018-12-21 10:20
272,-75.53870,6.24778,12:41,2018-12-23,2018-12-23 12:41
273,-75.53380,6.25919,18:50,2018-12-25,2018-12-25 18:50
274,-75.53421,6.28045,18:50,2018-12-25,2018-12-25 18:50
275,-75.59196,6.26382,12:35,2018-12-28,2018-12-28 12:35
276,-75.60545,6.13445,13:14,2018-12-28,2018-12-28 13:14
277,-75.61739,6.25980,15:39,2018-12-28,2018-12-28 15:39
278,-75.59760,6.26910,13:37,2018-12-29,2018-12-29 13:37
279,-75.55684,6.22774,14:59,2018-12-29,2018-12-29 14:59
280,-75.62818,6.21757,12:07,2018-12-31,2018-12-31 12:07
281,-75.64330,6.17617,18:12,2019-01-01,2019-01-01 18:12
282,-75.54200,6.35350,18:20,2019-01-01,2019-01-01 18:20
283,-75.54971,6.31096,19:30,2019-01-01,2019-01-01 19:30
284,-75.57081,6.32264,6:10,2019-01-02,2019-01-02 6:10
285,-75.63520,6.26616,6:15,2019-01-02,2019-01-02 6:15
286,-75.63491,6.25592,9:50,2019-01-02,2019-01-02 9:50
287,-75.63520,6.25603,15:45,2019-01-02,2019-01-02 15:45
288,-75.55400,6.21630,6:40,2019-01-03,2019-01-03 6:40
289,-75.54260,6.28156,10:00,2019-01-03,2019-01-03 10:00
290,-75.57738,6.32506,10:55,2019-01-03,2019-01-03 10:55
291,-75.54413,6.32484,12:35,2019-01-03,2019-01-03 12:35
292,-75.62794,6.26803,14:37,2019-01-03,2019-01-03 14:37
293,-75.62825,6.24944,16:07,2019-01-03,2019-01-03 16:07
294,-75.56596,6.35761,16:20,2019-01-03,2019-01-03 16:20
295,-75.62431,6.22724,17:21,2019-01-03,2019-01-03 17:21
296,-75.61320,6.25850,15:10,2019-01-04,2019-01-04 15:10
297,-75.54900,6.25260,15:45,2019-01-04,2019-01-04 15:45
298,-75.61900,6.20320,18:13,2019-01-04,2019-01-04 18:13
299,-75.63769,6.28272,8:50,2019-01-05,2019-01-05 8:50
300,-75.52975,6.26113,12:05,2019-01-08,2019-01-08 12:05
301,-75.62157,6.26505,14:13,2019-01-11,2019-01-11 14:13
302,-75.60820,6.27293,12:27,2019-01-12,2019-01-12 12:27
303,-75.60918,6.24933,12:36,2019-01-14,2019-01-14 12:36
304,-75.63108,6.25650,15:40,2019-01-14,2019-01-14 15:40
305,-75.62362,6.20938,15:54,2019-01-14,2019-01-14 15:54
306,-75.61091,6.28904,16:27,2019-01-14,2019-01-14 16:27
307,-75.62024,6.28282,16:40,2019-01-14,2019-01-14 16:40
308,-75.61361,6.27018,17:25,2019-01-14,2019-01-14 17:25
309,-75.53388,6.27777,13:05,2019-01-15,2019-01-15 13:05
310,-75.62362,6.20938,15:35,2019-01-15,2019-01-15 15:35
311,-75.60534,6.29012,12:55,2019-01-16,2019-01-16 12:55
312,-75.63580,6.25296,15:38,2019-01-16,2019-01-16 15:38
313,-75.59812,6.29431,13:55,2019-01-18,2019-01-18 13:55
314,-75.53174,6.26353,14:27,2019-01-18,2019-01-18 14:27
315,-75.63775,6.25644,15:49,2019-01-18,2019-01-18 15:49
316,-75.62360,6.27364,10:55,2019-01-19,2019-01-19 10:55
317,-75.60025,6.29318,14:09,2019-01-20,2019-01-20 14:09
318,-75.61611,6.21428,17:03,2019-01-20,2019-01-20 17:03
319,-75.62701,6.25179,10:08,2019-01-21,2019-01-21 10:08
320,-75.63264,6.25760,16:30,2019-01-21,2019-01-21 16:30
321,-75.63190,6.25310,10:48,2019-01-22,2019-01-22 10:48
322,-75.54690,6.27590,11:30,2019-01-23,2019-01-23 11:30
323,-75.63640,6.28150,13:45,2019-01-23,2019-01-23 13:45
324,-75.62780,6.22797,15:05,2019-01-23,2019-01-23 15:05
325,-75.63480,6.25400,16:32,2019-01-23,2019-01-23 16:32
326,-75.54130,6.28550,18:00,2019-01-23,2019-01-23 18:00
327,-75.53954,6.26851,7:52,2019-01-24,2019-01-24 7:52
328,-75.63705,6.25667,10:04,2019-01-24,2019-01-24 10:04
329,-75.61544,6.26807,10:08,2019-01-24,2019-01-24 10:08
330,-75.62180,6.26859,13:28,2019-01-24,2019-01-24 13:28
331,-75.61544,6.26807,11:45,2019-01-25,2019-01-25 11:45
332,-75.62909,6.25303,16:30,2019-01-25,2019-01-25 16:30
333,-75.58979,6.29787,11:30,2019-01-26,2019-01-26 11:30
334,-75.54232,6.34845,16:15,2019-01-26,2019-01-26 16:15
335,-75.64389,6.26041,11:02,2019-01-31,2019-01-31 11:02
336,-75.61667,6.21416,12:51,2019-01-31,2019-01-31 12:51
337,-75.60100,6.36500,12:00,2019-02-01,2019-02-01 12:00
338,-75.53915,6.26783,12:15,2019-02-03,2019-02-03 12:15
339,-75.53920,6.26790,12:24,2019-02-03,2019-02-03 12:24
340,-75.63040,6.24640,16:10,2019-02-03,2019-02-03 16:10
341,-75.62950,6.25650,14:30,2019-02-05,2019-02-05 14:30
342,-75.63000,6.26550,13:40,2019-02-06,2019-02-06 13:40
343,-75.62990,6.26890,13:40,2019-02-06,2019-02-06 13:40
344,-75.53805,6.32660,14:46,2019-02-08,2019-02-08 14:46
345,-75.64045,6.29800,16:18,2019-02-09,2019-02-09 16:18
346,-75.60060,6.28720,14:36,2019-02-10,2019-02-10 14:36
347,-75.60556,6.29577,10:37,2019-02-11,2019-02-11 10:37
348,-75.60514,6.28641,12:51,2019-02-11,2019-02-11 12:51
349,-75.54550,6.27090,14:03,2019-02-11,2019-02-11 14:03
350,-75.62277,6.21001,14:56,2019-02-11,2019-02-11 14:56
351,-75.54624,6.25462,15:44,2019-02-11,2019-02-11 15:44
352,-75.62689,6.26768,12:15,2019-02-12,2019-02-12 12:15
353,-75.61160,6.28560,14:07,2019-02-12,2019-02-12 14:07
354,-75.63578,6.25105,9:51,2019-02-13,2019-02-13 9:51
355,-75.60952,6.21446,12:10,2019-02-13,2019-02-13 12:10
356,-75.57222,6.34992,13:10,2019-02-13,2019-02-13 13:10
357,-75.53976,6.27646,14:23,2019-02-13,2019-02-13 14:23
358,-75.61999,6.24102,14:05,2019-02-20,2019-02-20 14:05
359,-75.63712,6.29477,15:34,2019-02-21,2019-02-21 15:34
360,-75.61873,6.25913,15:08,2019-02-24,2019-02-24 15:08
361,-75.43479,6.34969,16:10,2019-02-27,2019-02-27 16:10
362,-75.61655,6.25609,14:35,2019-02-28,2019-02-28 14:35
363,-75.60330,6.28922,12:37,2019-03-03,2019-03-03 12:37
364,-75.63698,6.25239,12:48,2019-03-10,2019-03-10 12:48
365,-75.53635,6.25235,14:52,2019-03-11,2019-03-11 14:52
366,-75.53411,6.23857,17:37,2019-03-14,2019-03-14 17:37
367,-75.57213,6.33373,9:50,2019-03-15,2019-03-15 9:50
368,-75.61252,6.21242,15:05,2019-03-15,2019-03-15 15:05
369,-75.53633,6.24581,17:07,2019-03-26,2019-03-26 17:07
370,-75.66760,6.24369,13:50,2019-04-03,2019-04-03 13:50
371,-75.45297,6.39818,13:40,2019-04-11,2019-04-11 13:40
372,-75.63669,6.25628,12:30,2019-04-16,2019-04-16 12:30
